Fold,Accuracy_Full,Macro_F1_Full,AUROC_Full,Accuracy_Ablated,Macro_F1_Ablated,AUROC_Ablated,Accuracy_Delta,Macro_F1_Delta,AUROC_Delta
fold_0,0.5555555555555556,0.17857142857142858,,0.5555555555555556,0.17857142857142858,,0.0,0.0,
fold_1,0.2222222222222222,0.09090909090909091,,0.1111111111111111,0.05,,0.1111111111111111,0.04090909090909091,
fold_2,0.4444444444444444,0.20512820512820515,,0.4444444444444444,0.20512820512820515,,0.0,0.0,
fold_3,0.375,0.1818181818181818,,0.5,0.2222222222222222,,-0.125,-0.040404040404040414,
fold_4,0.5,0.2222222222222222,,0.5,0.2222222222222222,,0.0,0.0,
Average,0.41944444444444445,0.17572982572982573,,0.4222222222222222,0.17562881562881563,,-0.002777777777777768,0.00010101010101010166,
